cut	k	mask	rank_sum	max_rank_sum	entropy_nats	entropy_bits	max_entropy_bits	cost
81	2	2064	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
82	2	4112	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
83	2	8208	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
84	2	16400	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
85	2	32784	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
86	2	65552	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
87	2	96	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
88	2	160	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
89	2	288	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
90	2	544	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
91	2	1056	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
92	2	2080	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
93	2	4128	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
94	2	8224	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
95	2	16416	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
96	2	32800	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
97	2	65568	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
98	2	192	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
99	2	320	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
100	2	576	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
101	2	1088	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
102	2	2112	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
103	2	4160	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
104	2	8256	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
105	2	16448	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
106	2	32832	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
107	2	65600	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
108	2	384	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
109	2	640	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
110	2	1152	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
111	2	2176	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
112	2	4224	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
113	2	8320	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
114	2	16512	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
115	2	32896	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
116	2	65664	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
117	2	768	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
118	2	1280	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
119	2	2304	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
120	2	4352	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
121	2	8448	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
122	2	16640	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
123	2	33024	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
124	2	65792	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
125	2	1536	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
126	2	2560	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
127	2	4608	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
